Keycode,period,ECHO_PREP_CT_FEMININO_UNKNOWN AGE,ECHO_PREP_CT_15_19_FEMININO,ECHO_PREP_CT_20_24_FEMININO,ECHO_PREP_CT_25_29_FEMININO,ECHO_PREP_CT_30_34_FEMININO,ECHO_PREP_CT_35_39_FEMININO,ECHO_PREP_CT_40_44_FEMININO,ECHO_PREP_CT_45_49_FEMININO,ECHO_PREP_CT_50_FEMININO,ECHO_PREP_CT_MASCULINO_UNKNOWN AGE,ECHO_PREP_CT_15_19_MASCULINO,ECHO_PREP_CT_20_24_MASCULINO,ECHO_PREP_CT_25_29_MASCULINO,ECHO_PREP_CT_30_34_MASCULINO,ECHO_PREP_CT_35_39_MASCULINO,ECHO_PREP_CT_40_44_MASCULINO,ECHO_PREP_CT_45_49_MASCULINO,ECHO_PREP_CT_50_MASCULINO,ECHO MOZ | PREP_Menos de 3 meses desde o inicio do PrEP,ECHO_PREP_CT_KP_PID(PWID),ECHO_PREP_CT_KP_HSH,ECHO_PREP_CT_KP_TG,ECHO_PREP_CT_KP_MTS(FSW),ECHO_PREP_CT_KP_REC,ECHO MOZ | PREP_CT Test Result (Negative 3 months),ECHO MOZ | PREP_CT Test Result (Other 3 months),ECHO MOZ | PREP_CT Test Result (Positive 3 months),"ECHO MOZ | PREP_Numero de utentes que voltaram para qualquer visita de seguimento apos 30 dias, KP Mullheres Lactantes","ECHO MOZ | PREP_Actualmente em PrEP (Mês em referencia): PrEP_CURR, KP Gravida"
200539,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200633,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200479,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200556,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200163,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,
200157,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200528,2022Q1,0,0,6,6,7,4,1,2,0,0,1,2,1,4,1,1,0,2,,0,0,0,2,0,,,,,
200190,2022Q1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,
200191,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200661,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200464,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200154,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200169,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200460,2022Q1,0,1,8,14,4,2,6,0,0,0,0,0,2,2,0,0,0,2,,,,,,,1,,0,,
200491,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200483,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200502,2022Q1,0,0,3,2,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,,
200567,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200591,2022Q1,0,2,2,4,5,1,2,1,0,0,1,2,5,4,0,0,2,0,,,,,,,,,,,
200546,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200529,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200579,2022Q1,0,3,1,3,0,0,0,0,0,0,0,4,1,2,0,0,0,0,,,,,1,,,,,,
321331,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200655,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200178,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200451,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200599,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200531,2022Q1,0,0,5,8,7,3,3,2,0,0,0,0,2,3,2,2,0,4,,,,,,,,,,,
200580,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200524,2022Q1,0,3,18,13,8,4,5,1,1,0,0,2,6,7,4,4,2,0,,0,0,0,14,0,,,,,
200592,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200600,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200549,2022Q1,0,2,3,6,3,1,2,0,0,0,0,0,2,1,3,1,0,0,,0,0,0,5,0,,,,,
200521,2022Q1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,3,0,2,,0,0,0,4,0,0,,,,
200481,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200494,2022Q1,0,0,8,8,2,5,0,2,1,0,0,2,2,2,2,0,0,2,,,,,,,,,,,
201851,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200457,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
99999,2022Q1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,2,,,,,,,,,,,
200614,2022Q1,0,0,4,11,5,3,1,1,1,0,0,4,4,2,1,2,1,0,,,,,,,,,,,
200564,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
201858,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200669,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200557,2022Q1,0,2,2,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,,
321333,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200629,2022Q1,0,0,2,3,6,1,0,2,0,0,0,0,2,2,0,2,0,1,,,,,,,,,,,
200601,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200517,2022Q1,0,0,0,2,2,3,1,0,0,0,0,1,0,1,1,0,0,0,,,,,,,1,,,,
200667,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200456,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200565,2022Q1,0,0,2,0,2,2,1,2,0,0,0,1,3,2,0,0,4,0,0,0,0,0,8,0,0,0,0,,
398330,2022Q1,0,0,1,1,3,1,1,0,3,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,16,0,0,,
200503,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200471,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200963,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200577,2022Q1,0,5,4,0,2,1,0,0,1,0,3,4,2,1,0,1,3,0,,,,,3,10,,,,,
200936,2022Q1,0,10,16,12,11,3,3,0,0,0,7,13,10,6,10,4,3,0,0,0,12,0,30,0,0,0,0,,
200939,2022Q1,0,3,7,21,7,7,2,0,0,0,1,0,11,8,1,0,1,1,,,,,10,,,,,,
200938,2022Q1,0,1,9,12,10,7,2,5,2,0,1,1,3,2,4,1,5,9,,0,0,0,43,2,0,,0,,
200958,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200954,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200957,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200940,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200914,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200648,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200941,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
201869,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200942,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200943,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
201647,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
200933,2022Q1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
