Keycode,period,"echo_TX_NEW_N_Preg_Feeding | Breastfeeding, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | <1, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 1-4, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 5-9, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 10-14, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 15-19, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 20-24, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 25-29, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 30-34, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 35-39, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 40-44, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 45-49, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | 50+, Female, Positive","echo_TX_NEW_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | FSW, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | MSM, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | PWID, Positive","echo_TX_NEW_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive",TX_NEW_N_2MONTHS_All Patients,TX_NEW_N_2MONTHS_Pregnant Women,TX_NEW_N_2MONTHS_Breastfeeding,TX_NEW_N_2MONTHS_Children (0-14 Yrs),TX_NEW_N_2MONTHS_Non-Pregnant Adults
200499,2022Q1,7,0,4,0,0,0,7,10,26,17,13,5,6,0,1,3,1,1,11,43,38,31,22,5,4,6,0,9,6,0,0,119,13,3,3,100
340078,2022Q1,1,0,0,0,0,0,1,0,7,5,2,2,4,0,0,0,0,0,1,12,12,2,2,2,0,2,0,0,0,0,0,31,7,1,0,23
338288,2022Q1,2,0,0,1,0,0,0,7,9,5,1,2,1,0,1,0,0,0,1,6,10,5,1,0,0,2,0,0,0,0,0,33,5,1,1,26
201696,2022Q1,2,2,0,2,0,0,3,10,10,12,7,3,6,0,1,1,1,1,12,27,28,17,16,4,5,9,0,8,9,0,0,74,25,1,4,44
360175,2022Q1,1,0,1,0,0,2,0,2,4,3,2,0,1,0,1,0,0,0,1,7,5,3,3,2,2,0,0,1,0,0,0,42,4,1,2,35
200527,2022Q1,3,0,1,0,0,0,1,0,3,0,1,5,2,0,1,0,0,0,2,10,6,4,5,2,2,1,0,1,0,0,0,27,5,3,1,18
200605,2022Q1,0,0,1,0,0,0,0,1,5,2,2,2,1,0,0,0,0,1,1,4,8,4,2,2,3,0,0,0,0,0,0,27,4,0,0,23
200574,2022Q1,3,0,2,0,0,0,0,2,7,5,4,2,3,0,3,0,0,0,0,10,7,3,4,4,1,0,0,0,0,0,0,33,1,0,2,30
200535,2022Q1,2,0,0,0,0,0,1,6,9,3,5,1,1,0,0,1,0,0,3,3,6,11,1,2,1,4,0,0,0,0,0,0,0,0,0,0
200462,2022Q1,0,0,1,0,0,0,1,2,4,4,0,0,1,0,0,0,0,0,0,4,5,3,0,0,0,4,0,0,0,0,0,17,1,0,0,16
200625,2022Q1,4,0,0,3,0,0,1,3,3,0,1,0,2,0,0,3,1,1,1,7,5,6,6,2,4,0,0,0,0,0,0,32,5,2,5,20
200447,2022Q1,1,0,0,0,0,0,1,1,4,3,0,0,4,0,0,0,1,0,3,7,3,2,1,2,1,5,0,0,0,0,0,15,1,0,0,14
444444,2022Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200617,2022Q1,2,1,0,0,0,1,4,2,6,7,4,1,1,0,0,0,1,1,1,8,16,6,2,0,1,1,0,0,0,0,0,38,10,1,1,26
200472,2022Q1,0,0,0,0,0,0,1,5,7,7,3,1,0,0,0,0,0,0,1,7,7,13,5,3,1,1,0,0,0,0,0,41,1,0,0,40
200147,2022Q1,0,0,0,0,0,0,0,1,0,4,5,3,0,0,1,0,0,0,2,2,0,3,8,2,0,1,0,0,0,0,1,23,2,0,0,21
