Keycode,period,"TX_RTT_N_Age_Sex_HIVStatus | <1, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 1-4, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 5-9, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 10-14, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 15-19, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 20-24, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 25-29, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 30-34, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 35-39, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 40-44, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 45-49, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50+, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50-54, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 55-59, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 60-64, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | 65+, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | Unknown Age, Male, Positive","TX_RTT_N_Age_Sex_HIVStatus | <1, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 1-4, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 5-9, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 10-14, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 15-19, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 20-24, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 25-29, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 30-34, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 35-39, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 40-44, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 45-49, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50+, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 50-54, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 55-59, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 60-64, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | 65+, Female, Positive","TX_RTT_N_Age_Sex_HIVStatus | Unknown Age, Female, Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(<3 Months Interruption), Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(3-5 Months Interruption), Positive","TX_RTT_N_ARTNoContactReasonIIT_HIVStatus | IIT(<6+ Months Interruption), Positive","TX_RTT_N_KeyPop_HIVStatus | PWID, Positive","TX_RTT_N_KeyPop_HIVStatus | MSM, Positive","TX_RTT_N_KeyPop_HIVStatus | FSW, Positive","TX_RTT_N_KeyPop_HIVStatus | People in prisons and other enclosed settings, Positive"
200463,2023Q1,0,0,0,1,0,1,0,0,1,1,1,,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,,0,0,0,0,0,5,1,2,0,0,1,0
200604,2023Q1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,1,0,0,0,0,1,0,3,0,0,0,0
200542,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200538,2023Q1,0,0,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,,0,0,0,0,0,2,2,3,0,0,0,0
200561,2023Q1,0,0,0,0,1,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,3,0,0,0,0
321326,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,2,1,0,0,0,0
200173,2023Q1,0,1,0,0,0,0,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,7,8,4,0,2,0,,0,0,0,0,0,2,24,0,0,0,0,0
200522,2023Q1,0,0,0,0,0,0,0,3,0,1,0,,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,,1,0,0,0,0,0,5,4,0,0,0,0
200023,2023Q1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,,0,0,0,0,0,0,1,5,0,0,0,0
200536,2023Q1,0,0,0,1,0,0,0,2,0,1,2,,0,1,0,1,0,0,1,3,0,0,6,2,6,3,3,1,,1,0,0,0,0,10,6,18,0,0,1,0
200497,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200152,2023Q1,0,0,1,2,0,0,0,1,1,1,1,,1,0,0,1,0,0,0,1,0,0,5,4,9,5,3,2,,2,0,0,0,0,16,13,11,0,0,0,0
200612,2023Q1,0,0,1,1,0,1,1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,4,1,3,2,2,0,,0,0,0,0,0,10,4,4,0,0,0,0
200548,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200192,2023Q1,0,0,1,1,0,4,3,6,8,10,3,,1,1,1,2,0,0,1,0,1,1,10,34,17,10,2,3,,1,0,0,0,0,52,36,33,0,0,3,1
200566,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,,0,0,1,0,0,0,1,5,0,0,0,0
201028,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,2,0,0,0,0,0,0
338290,2023Q1,0,0,0,0,0,0,1,1,1,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,0,0,7,0,0,0,0,0,0
200559,2023Q1,0,0,0,0,0,0,0,3,0,2,0,,0,0,0,0,0,0,0,0,0,1,2,4,10,5,0,0,,0,0,0,0,0,4,8,15,0,0,0,0
200454,2023Q1,0,1,0,0,0,0,0,0,0,2,0,,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,2,0,3,0,0,0,0
200618,2023Q1,0,1,3,5,2,2,6,18,10,11,11,,4,0,3,0,0,0,0,3,1,4,4,18,18,15,6,6,,3,2,3,2,0,48,30,83,0,0,2,1
201110,2023Q1,0,0,0,0,0,0,0,0,1,0,1,,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,0,0,0,0,0,0,7,0,0,0,0
200525,2023Q1,0,0,3,1,1,0,1,2,3,6,1,,2,0,3,1,0,0,3,3,1,2,3,10,14,12,4,1,,2,0,0,1,0,19,30,31,0,0,3,0
200165,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
200459,2023Q1,0,1,1,0,0,1,0,2,2,0,1,,2,0,0,0,0,0,1,0,0,1,2,7,6,1,2,1,,1,0,0,0,0,26,6,0,0,0,0,0
201645,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0
200937,2023Q1,0,0,0,0,0,2,0,2,1,1,3,,1,1,0,0,0,0,0,0,0,0,14,7,9,7,9,3,,1,0,0,1,0,11,21,30,0,0,0,0
200657,2023Q1,0,1,1,2,1,1,1,5,3,6,2,,3,1,0,1,0,0,0,2,5,5,10,11,20,7,7,2,,1,1,0,0,0,49,38,12,0,1,0,0
200576,2023Q1,0,1,1,0,1,0,0,1,3,3,1,,1,1,0,1,0,0,2,1,2,2,6,9,13,5,2,2,,1,3,2,0,0,11,38,15,0,0,0,0
200513,2023Q1,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,1,0,0,0,0
200552,2023Q1,0,0,0,0,0,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,,0,0,0,0,0,0,1,4,0,0,0,0
200530,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,,0,0,0,1,0,3,0,1,0,0,0,0
200586,2023Q1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
